Date,strategy,benchmark
2023-03-15,0.9995,
2023-03-16,0.9937238493465402,1.0013520081331115
2023-03-17,0.9855672698932446,1.0003539875220346
2023-03-20,0.9958969066234491,1.004367416987842
2023-03-21,1.0034840302950292,1.0159675684709961
2023-03-22,1.0005777717484874,1.0146252501018962
2023-03-23,0.9955966579664782,1.0115137274506816
2023-03-24,0.9919782905019187,1.0041241845037585
2023-03-27,0.9982749741514304,1.0103328921162602
2023-03-28,0.9988841679689687,1.0131476864620104
2023-03-29,1.0011656886425837,1.0231947668668722
2023-03-30,1.0075207772324117,1.0277933113765036
2023-03-31,1.0053926038424497,1.0320036930706729
2023-04-03,1.011796876230422,1.042248627761105
2023-04-04,1.010155190866405,1.0371247452606918
2023-04-05,1.011928275449418,1.0448249477796994
2023-04-06,1.0156699264683131,1.0492821378180899
2023-04-07,1.0200606227977345,1.055921320300047
2023-04-10,1.019537938175139,1.05146077458237
2023-04-11,1.016895148344676,1.0519842432641817
2023-04-12,1.0148756643737504,1.0515978333028768
2023-04-13,1.0154931613214797,1.057143884719531
2023-04-14,1.0153272996089062,1.0615993542668316
2023-04-17,1.0143286227124657,1.0626659559072522
2023-04-18,1.0148246736409994,1.062628115472823
2023-04-19,1.0157674720817864,1.058651096872923
2023-04-20,1.0175093360327794,1.0551063508481273
2023-04-21,1.0228934725366001,1.0567107139552212
2023-04-24,1.0238553667134973,1.0583636016830513
2023-04-25,1.0246789182232159,1.0520309951783586
2023-04-26,1.0205578701960172,1.0483260898786864
2023-04-27,1.017614276507796,1.056219668136708
2023-04-28,1.0168511801458164,1.0585920754494738
2023-05-01,1.0180731175112459,1.0564959339906277
2023-05-02,1.0204336556697937,1.0460425091990733
2023-05-03,1.0221930516360629,1.04435517405842
2023-05-04,1.023571841235148,1.0337882412529498
2023-05-05,1.021455343596821,1.050308028055333
2023-05-08,1.0207383885771177,1.0534596505164322
2023-05-09,1.0226970020380068,1.0516396324729533
2023-05-10,1.0254147095398334,1.048059518943272
2023-05-11,1.0281160924219974,1.0422298220179664
2023-05-12,1.0283509230185226,1.0426877474887477
2023-05-15,1.0230496453781524,1.0431991825434934
2023-05-16,1.0216646976770192,1.038162223464428
2023-05-17,1.0112510995662363,1.0398815935619656
2023-05-18,1.0127527812546446,1.0429312171359086
2023-05-19,1.0129205378846482,1.0429193685398412
